# E (eV)   ldos(E)   pdos(E)   
   5.235  0.726E-02  0.726E-02
   5.285  0.588E-02  0.588E-02
   5.335  0.481E-02  0.481E-02
   5.385  0.410E-02  0.410E-02
   5.435  0.350E-02  0.350E-02
   5.485  0.299E-02  0.299E-02
   5.535  0.282E-02  0.282E-02
   5.585  0.311E-02  0.311E-02
   5.635  0.356E-02  0.356E-02
   5.685  0.377E-02  0.377E-02
   5.735  0.359E-02  0.359E-02
   5.785  0.312E-02  0.312E-02
   5.835  0.248E-02  0.248E-02
   5.885  0.175E-02  0.175E-02
   5.935  0.105E-02  0.105E-02
   5.985  0.518E-03  0.518E-03
   6.035  0.205E-03  0.205E-03
   6.085  0.639E-04  0.639E-04
   6.135  0.156E-04  0.156E-04
   6.185  0.295E-05  0.295E-05
   6.235  0.432E-06  0.432E-06
   6.285  0.514E-07  0.514E-07
   6.335  0.395E-07  0.395E-07
   6.385  0.369E-06  0.369E-06
   6.435  0.296E-05  0.296E-05
   6.485  0.183E-04  0.183E-04
   6.535  0.876E-04  0.876E-04
   6.585  0.328E-03  0.328E-03
   6.635  0.975E-03  0.975E-03
   6.685  0.237E-02  0.237E-02
   6.735  0.488E-02  0.488E-02
   6.785  0.887E-02  0.887E-02
   6.835  0.145E-01  0.145E-01
   6.885  0.210E-01  0.210E-01
   6.935  0.272E-01  0.272E-01
   6.985  0.320E-01  0.320E-01
   7.035  0.359E-01  0.359E-01
   7.085  0.402E-01  0.402E-01
   7.135  0.457E-01  0.457E-01
   7.185  0.527E-01  0.527E-01
   7.235  0.603E-01  0.603E-01
   7.285  0.674E-01  0.674E-01
   7.335  0.725E-01  0.725E-01
   7.385  0.746E-01  0.746E-01
   7.435  0.743E-01  0.743E-01
   7.485  0.738E-01  0.738E-01
   7.535  0.753E-01  0.753E-01
   7.585  0.796E-01  0.796E-01
   7.635  0.860E-01  0.860E-01
   7.685  0.912E-01  0.912E-01
   7.735  0.917E-01  0.917E-01
   7.785  0.867E-01  0.867E-01
   7.835  0.799E-01  0.799E-01
   7.885  0.783E-01  0.783E-01
   7.935  0.881E-01  0.881E-01
   7.985  0.112E+00  0.112E+00
   8.035  0.144E+00  0.144E+00
   8.085  0.174E+00  0.174E+00
   8.135  0.189E+00  0.189E+00
   8.185  0.187E+00  0.187E+00
   8.235  0.178E+00  0.178E+00
   8.285  0.174E+00  0.174E+00
   8.335  0.180E+00  0.180E+00
   8.385  0.195E+00  0.195E+00
   8.435  0.212E+00  0.212E+00
   8.485  0.225E+00  0.225E+00
   8.535  0.230E+00  0.230E+00
   8.585  0.227E+00  0.227E+00
