# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
   6.235  0.208E-01  0.694E-02  0.694E-02  0.694E-02
   6.285  0.110E-01  0.366E-02  0.366E-02  0.366E-02
   6.335  0.468E-02  0.156E-02  0.156E-02  0.156E-02
   6.385  0.159E-02  0.532E-03  0.532E-03  0.532E-03
   6.435  0.438E-03  0.146E-03  0.146E-03  0.146E-03
   6.485  0.123E-03  0.409E-04  0.409E-04  0.409E-04
   6.535  0.155E-03  0.518E-04  0.518E-04  0.518E-04
   6.585  0.526E-03  0.175E-03  0.175E-03  0.175E-03
   6.635  0.156E-02  0.521E-03  0.521E-03  0.521E-03
   6.685  0.381E-02  0.127E-02  0.127E-02  0.127E-02
   6.735  0.787E-02  0.262E-02  0.262E-02  0.262E-02
   6.785  0.143E-01  0.478E-02  0.478E-02  0.478E-02
   6.835  0.235E-01  0.784E-02  0.784E-02  0.784E-02
   6.885  0.345E-01  0.115E-01  0.115E-01  0.115E-01
   6.935  0.454E-01  0.151E-01  0.151E-01  0.151E-01
   6.985  0.546E-01  0.182E-01  0.182E-01  0.182E-01
   7.035  0.629E-01  0.210E-01  0.210E-01  0.210E-01
   7.085  0.718E-01  0.239E-01  0.239E-01  0.239E-01
   7.135  0.828E-01  0.276E-01  0.276E-01  0.276E-01
   7.185  0.963E-01  0.321E-01  0.321E-01  0.321E-01
   7.235  0.112E+00  0.372E-01  0.372E-01  0.372E-01
   7.285  0.127E+00  0.425E-01  0.425E-01  0.425E-01
   7.335  0.140E+00  0.468E-01  0.468E-01  0.468E-01
   7.385  0.148E+00  0.493E-01  0.493E-01  0.493E-01
   7.435  0.150E+00  0.500E-01  0.500E-01  0.500E-01
   7.485  0.150E+00  0.501E-01  0.501E-01  0.501E-01
   7.535  0.155E+00  0.516E-01  0.516E-01  0.516E-01
   7.585  0.166E+00  0.555E-01  0.555E-01  0.555E-01
   7.635  0.183E+00  0.611E-01  0.611E-01  0.611E-01
   7.685  0.198E+00  0.659E-01  0.659E-01  0.659E-01
   7.735  0.200E+00  0.665E-01  0.665E-01  0.665E-01
   7.785  0.188E+00  0.628E-01  0.628E-01  0.628E-01
   7.835  0.174E+00  0.581E-01  0.581E-01  0.581E-01
   7.885  0.172E+00  0.573E-01  0.573E-01  0.573E-01
   7.935  0.190E+00  0.633E-01  0.633E-01  0.633E-01
   7.985  0.228E+00  0.761E-01  0.761E-01  0.761E-01
   8.035  0.279E+00  0.929E-01  0.929E-01  0.929E-01
   8.085  0.324E+00  0.108E+00  0.108E+00  0.108E+00
   8.135  0.348E+00  0.116E+00  0.116E+00  0.116E+00
   8.185  0.349E+00  0.116E+00  0.116E+00  0.116E+00
   8.235  0.343E+00  0.114E+00  0.114E+00  0.114E+00
   8.285  0.350E+00  0.117E+00  0.117E+00  0.117E+00
   8.335  0.371E+00  0.124E+00  0.124E+00  0.124E+00
   8.385  0.397E+00  0.132E+00  0.132E+00  0.132E+00
   8.435  0.420E+00  0.140E+00  0.140E+00  0.140E+00
   8.485  0.440E+00  0.147E+00  0.147E+00  0.147E+00
   8.535  0.460E+00  0.153E+00  0.153E+00  0.153E+00
