# Time-averaged data for fix rdfavg
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
1000 100
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 6.02785e-05 9.76563e-06
36 0.8875 0.000624065 0.000117187
37 0.9125 0.0130924 0.0025
38 0.9375 0.0982707 0.0213672
39 0.9625 0.382955 0.0988574
40 0.9875 0.880324 0.286348
41 1.0125 1.4763 0.616885
42 1.0375 1.98066 1.08253
43 1.0625 2.30666 1.65123
44 1.0875 2.40744 2.27306
45 1.1125 2.34437 2.90674
46 1.1375 2.22487 3.53546
47 1.1625 2.03922 4.13732
48 1.1875 1.83626 4.70283
49 1.2125 1.6797 5.24213
50 1.2375 1.51569 5.74903
51 1.2625 1.36793 6.22519
52 1.2875 1.25188 6.67834
53 1.3125 1.16337 7.116
54 1.3375 1.07275 7.53509
55 1.3625 1.00086 7.94084
56 1.3875 0.940761 8.33634
57 1.4125 0.886522 8.72262
58 1.4375 0.83942 9.10143
59 1.4625 0.813013 9.48119
60 1.4875 0.78837 9.86214
61 1.5125 0.767888 10.2458
62 1.5375 0.747861 10.6318
63 1.5625 0.741957 11.0274
64 1.5875 0.731789 11.4301
65 1.6125 0.729218 11.8442
66 1.6375 0.734802 12.2745
67 1.6625 0.746825 12.7253
68 1.6875 0.761191 13.1986
69 1.7125 0.775415 13.6952
70 1.7375 0.786778 14.2139
71 1.7625 0.814957 14.7668
72 1.7875 0.837602 15.3513
73 1.8125 0.869652 15.9752
74 1.8375 0.902852 16.6409
75 1.8625 0.935967 17.35
76 1.8875 0.961964 18.0984
77 1.9125 0.995169 18.8934
78 1.9375 1.02715 19.7354
79 1.9625 1.05716 20.6246
80 1.9875 1.08697 21.5623
81 2.0125 1.11872 22.5518
82 2.0375 1.13758 23.5832
83 2.0625 1.15035 24.6519
84 2.0875 1.16056 25.7563
85 2.1125 1.16461 26.8913
86 2.1375 1.16385 28.0526
87 2.1625 1.15612 29.2333
88 2.1875 1.14978 30.4348
89 2.2125 1.13483 31.648
90 2.2375 1.10671 32.8581
91 2.2625 1.09267 34.0795
92 2.2875 1.07519 35.3082
93 2.3125 1.05011 36.5345
94 2.3375 1.02907 37.7625
95 2.3625 1.01118 38.9949
96 2.3875 0.99075 40.2282
97 2.4125 0.976046 41.4689
98 2.4375 0.957516 42.7112
99 2.4625 0.949171 43.9682
100 2.4875 0.936403 45.2335
