z,rho_benzene,rho_ethanol,rho_copper,n_benzene,n_ethanol
8.125000,0.000205,0.000215,0.000000,0.000000,0.000000
8.375000,0.000997,0.000472,0.000000,0.000000,0.000000
8.625000,0.002733,0.001471,0.000000,0.000000,0.000000
8.875000,0.009413,0.003356,0.000000,0.000000,0.000000
9.125000,0.029998,0.007745,0.000000,0.000000,0.000004
9.375000,0.082048,0.016885,0.000000,0.000002,0.000009
9.625000,0.173347,0.030218,0.000000,0.000040,0.000040
9.875000,0.279220,0.055456,0.000000,0.000262,0.000149
10.125000,0.388274,0.076323,0.000000,0.001176,0.000413
10.375000,0.478585,0.096315,0.000000,0.002480,0.000978
10.625000,0.531718,0.113498,0.000000,0.004327,0.001558
10.875000,0.584000,0.130560,0.000000,0.006300,0.002169
11.125000,0.616654,0.148254,0.000000,0.007067,0.002647
11.375000,0.645684,0.162252,0.000000,0.007362,0.002691
11.625000,0.668354,0.177630,0.000000,0.006560,0.002796
11.875000,0.687771,0.188404,0.000000,0.006222,0.002718
12.125000,0.691142,0.194642,0.000000,0.005669,0.002524
12.375000,0.678490,0.196269,0.000000,0.005127,0.002529
12.625000,0.657671,0.195762,0.000000,0.004713,0.002562
