frame,x_bz_first,n_bz,n_et
109,0.7727272727272727,17,5
110,0.76,19,6
111,0.7619047619047619,16,5
112,0.7916666666666666,19,5
113,0.6956521739130435,16,7
114,0.7391304347826086,17,6
115,0.7083333333333334,17,7
116,0.75,18,6
117,0.7727272727272727,17,5
118,0.7727272727272727,17,5
119,0.7391304347826086,17,6
120,0.7272727272727273,16,6
121,0.7272727272727273,16,6
122,0.68,17,8
123,0.7307692307692307,19,7
124,0.6818181818181818,15,7
125,0.6896551724137931,20,9
126,0.7083333333333334,17,7
127,0.7407407407407407,20,7
128,0.75,18,6
129,0.76,19,6
130,0.6956521739130435,16,7
131,0.6923076923076923,18,8
132,0.72,18,7
133,0.6818181818181818,15,7
134,0.6956521739130435,16,7
135,0.6521739130434783,15,8
136,0.6666666666666666,16,8
137,0.6818181818181818,15,7
138,0.6818181818181818,15,7
139,0.7083333333333334,17,7
140,0.6521739130434783,15,8
141,0.7142857142857143,15,6
142,0.7272727272727273,16,6
143,0.8,16,4
144,0.8421052631578947,16,3
145,0.8260869565217391,19,4
146,0.8,16,4
147,0.7916666666666666,19,5
148,0.7727272727272727,17,5
149,0.7619047619047619,16,5
150,0.8095238095238095,17,4
151,0.7894736842105263,15,4
152,0.8095238095238095,17,4
153,0.6956521739130435,16,7
154,0.7272727272727273,16,6
155,0.7727272727272727,17,5
156,0.782608695652174,18,5
157,0.72,18,7
158,0.7916666666666666,19,5
159,0.8636363636363636,19,3
160,0.9090909090909091,20,2
161,0.8181818181818182,18,4
162,0.875,21,3
163,0.8636363636363636,19,3
164,0.8636363636363636,19,3
165,0.8695652173913043,20,3
166,0.85,17,3
167,0.8181818181818182,18,4
168,0.8636363636363636,19,3
169,0.8333333333333334,20,4
170,0.7727272727272727,17,5
171,0.7619047619047619,16,5
172,0.7692307692307693,20,6
173,0.8,16,4
174,0.8181818181818182,18,4
175,0.85,17,3
176,0.8260869565217391,19,4
177,0.85,17,3
178,0.7619047619047619,16,5
179,0.8181818181818182,18,4
180,0.8181818181818182,18,4
181,0.7916666666666666,19,5
182,0.8333333333333334,20,4
183,0.875,21,3
184,0.8260869565217391,19,4
185,0.8,16,4
186,0.8095238095238095,17,4
187,0.7727272727272727,17,5
188,0.782608695652174,18,5
189,0.782608695652174,18,5
190,0.75,18,6
191,0.75,18,6
192,0.7916666666666666,19,5
193,0.7727272727272727,17,5
194,0.782608695652174,18,5
195,0.7083333333333334,17,7
196,0.72,18,7
197,0.6363636363636364,14,8
198,0.6666666666666666,16,8
199,0.7407407407407407,20,7
200,0.75,18,6
201,0.6956521739130435,16,7
202,0.72,18,7
203,0.75,18,6
204,0.7272727272727273,16,6
205,0.8571428571428571,18,3
206,0.72,18,7
207,0.6818181818181818,15,7
208,0.6,15,10
209,0.625,15,9
210,0.6521739130434783,15,8
211,0.6153846153846154,16,10
212,0.64,16,9
213,0.5416666666666666,13,11
214,0.6818181818181818,15,7
215,0.6190476190476191,13,8
216,0.5416666666666666,13,11
217,0.5555555555555556,15,12
218,0.6153846153846154,16,10
219,0.6666666666666666,18,9
220,0.7083333333333334,17,7
221,0.65,13,7
222,0.6818181818181818,15,7
223,0.6818181818181818,15,7
224,0.7,14,6
225,0.6818181818181818,15,7
226,0.6363636363636364,14,8
227,0.5909090909090909,13,9
228,0.5769230769230769,15,11
229,0.68,17,8
