z,rho_benzene,rho_ethanol,rho_copper,n_benzene,n_ethanol
8.125000,0.000153,0.000182,0.000000,0.000000,0.000000
8.375000,0.000841,0.000628,0.000000,0.000000,0.000000
8.625000,0.002870,0.001160,0.000000,0.000000,0.000000
8.875000,0.008303,0.003910,0.000000,0.000000,0.000000
9.125000,0.028269,0.008935,0.000000,0.000000,0.000000
9.375000,0.077587,0.018444,0.000000,0.000000,0.000007
9.625000,0.161702,0.035898,0.000000,0.000024,0.000047
9.875000,0.270939,0.062700,0.000000,0.000313,0.000180
10.125000,0.367159,0.084116,0.000000,0.000998,0.000516
10.375000,0.444009,0.106660,0.000000,0.002256,0.001064
10.625000,0.520892,0.124463,0.000000,0.004038,0.001913
10.875000,0.560146,0.140630,0.000000,0.005931,0.002329
11.125000,0.594329,0.157101,0.000000,0.006842,0.002593
11.375000,0.611012,0.173591,0.000000,0.007011,0.002829
11.625000,0.636891,0.189038,0.000000,0.006716,0.002869
11.875000,0.666117,0.205865,0.000000,0.006060,0.003013
12.125000,0.674862,0.216868,0.000000,0.005524,0.002916
12.375000,0.667969,0.219001,0.000000,0.004922,0.002796
12.625000,0.635631,0.222566,0.000000,0.004682,0.002942
12.875000,0.593369,0.226157,0.000000,0.004322,0.002927
13.125000,0.565813,0.237813,0.000000,0.004200,0.002953
13.375000,0.544583,0.245882,0.000000,0.003793,0.003060
13.625000,0.521606,0.248214,0.000000,0.003622,0.003082
13.875000,0.502792,0.261885,0.000000,0.003538,0.003080
14.125000,0.495055,0.271291,0.000000,0.003682,0.003284
14.375000,0.504868,0.285529,0.000000,0.003631,0.003824
14.625000,0.499629,0.300578,0.000000,0.003622,0.003969
14.875000,0.508826,0.317246,0.000000,0.003656,0.004209
15.125000,0.526461,0.321324,0.000000,0.003853,0.004273
15.375000,0.542221,0.340804,0.000000,0.004007,0.004520
15.625000,0.557826,0.341157,0.000000,0.004449,0.004551
15.875000,0.555152,0.351940,0.000000,0.004438,0.004871
